operator_id,wait_avg_op,wait_avg_internal,conv_missed_ratio,conv_missed_ratio_internas,conv_out_total,op_type,calls_count_total,outbound_calls_avg,flag_low_outbound_conv_total,flag_low_outbound_calls_avg,flag_low_outbound_calls_total,flag_wait_avg_op,flag_wait_avg_internal,flag_conv_missed_ratio,flag_conv_missed_ratio_internas,num_flags,is_inefficient,grupo
908080,17.5,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
908082,15.5,,,,10.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
908098,52.666666666666664,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
908130,28.0,29.0,,,,unknown,,,False,False,False,False,False,False,False,0,False,Eficientes
908162,79.5,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
908180,,15.0,,,,unknown,,,False,False,False,,False,False,False,0,False,Eficientes
908834,195.25,,,,1.0,inbound,,,False,False,False,True,,False,False,1,False,Eficientes
908984,,,,,2.0,outbound,8.0,4.0,False,False,False,,,False,False,0,False,Eficientes
909392,26.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
909502,,,,,34.0,outbound,377.0,15.708333333333334,False,False,False,,,False,False,0,False,Eficientes
909768,42.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
909892,14.0,,,,2.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
909894,13.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
909896,9.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
